资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
UI_Mat_SpriteGray	Assets/PackAssets/UI_Material/UI_Mat_SpriteGray.mat	ui_material	UI_Mat_SpriteGray
UI_Mat_SpriteAdditive	Assets/PackAssets/UI_Material/UI_Mat_SpriteAdditive.mat	ui_material	UI_Mat_SpriteAdditive
UI_Mat_SpriteAdd	Assets/PackAssets/UI_Material/UI_Mat_SpriteAdd.mat	ui_material	UI_Mat_SpriteAdd
UI_Mat_HeadMask	Assets/PackAssets/UI_Material/UI_Mat_HeadMask.mat	ui_material	UI_Mat_HeadMask
UI_Mat_SpriteDefault	Assets/PackAssets/UI_Material/UI_Mat_SpriteDefault.mat	ui_material	UI_Mat_SpriteDefault
MarchRouteMatGreen	Assets/PackAssets/MapRes/MarchRouteMatGreen.mat	ab_mapprefab	MarchRouteMatGreen
MarchRouteMatRed	Assets/PackAssets/MapRes/MarchRouteMatRed.mat	ab_mapprefab	MarchRouteMatRed
MarchRouteMatYellow	Assets/PackAssets/MapRes/MarchRouteMatYellow.mat	ab_mapprefab	MarchRouteMatYellow
Aud_button	Assets/PackAssets/Audio/UI/Aud_button.mp3	ab_audio_ui	Aud_button
Aud_mail	Assets/PackAssets/Audio/UI/Aud_mail.wav	ab_audio_ui	Aud_mail
Aud_award1	Assets/PackAssets/Audio/UI/Aud_award1.mp3	ab_audio_ui	Aud_award1
Aud_award2	Assets/PackAssets/Audio/UI/Aud_award2.mp3	ab_audio_ui	Aud_award2
Aud_denglu	Assets/PackAssets/Audio/Login/Aud_denglu.mp3	launchload	Aud_denglu
Aud_fight	Assets/PackAssets/Audio/BGM/Aud_fight.mp3	ab_audio_bgm	Aud_fight
Aud_zhucheng1	Assets/PackAssets/Audio/BGM/Aud_zhucheng1.mp3	ab_audio_bgm	Aud_zhucheng1
Aud_zhucheng2	Assets/PackAssets/Audio/BGM/Aud_zhucheng2.mp3	ab_audio_bgm	Aud_zhucheng2
Aud_worldmap1	Assets/PackAssets/Audio/BGM/Aud_worldmap1.wav	ab_audio_bgm	Aud_worldmap1
Aud_worldmap2	Assets/PackAssets/Audio/BGM/Aud_worldmap2.wav	ab_audio_bgm	Aud_worldmap2
Aud_worldmap3	Assets/PackAssets/Audio/BGM/Aud_worldmap3.wav	ab_audio_bgm	Aud_worldmap3
Aud_worldmap4	Assets/PackAssets/Audio/BGM/Aud_worldmap4.wav	ab_audio_bgm	Aud_worldmap4
Aud_buduiruchang	Assets/PackAssets/Audio/Effect/Aud_buduiruchang.wav	ab_audio_effect	Aud_buduiruchang
Aud_daoskill	Assets/PackAssets/Audio/Effect/Aud_daoskill.wav	ab_audio_effect	Aud_daoskill
Aud_bowskill	Assets/PackAssets/Audio/Effect/Aud_bowskill.wav	ab_audio_effect	Aud_bowskill
Aud_riderskill	Assets/PackAssets/Audio/Effect/Aud_riderskill.wav	ab_audio_effect	Aud_riderskill
Aud_houpaishangqian	Assets/PackAssets/Audio/Effect/Aud_houpaishangqian.wav	ab_audio_effect	Aud_houpaishangqian
Aud_attackbaoji	Assets/PackAssets/Audio/Effect/Aud_attackbaoji.wav	ab_audio_effect	Aud_attackbaoji
Aud_attack	Assets/PackAssets/Audio/Effect/Aud_attack.mp3	ab_audio_effect	Aud_attack
Aud_corps1	Assets/PackAssets/Audio/Effect/Aud_corps1.mp3	ab_audio_effect	Aud_corps1
Aud_corps2	Assets/PackAssets/Audio/Effect/Aud_corps2.mp3	ab_audio_effect	Aud_corps2
Aud_corps3	Assets/PackAssets/Audio/Effect/Aud_corps3.mp3	ab_audio_effect	Aud_corps3
Aud_corpscall	Assets/PackAssets/Audio/Effect/Aud_corpscall.mp3	ab_audio_effect	Aud_corpscall
Aud_corpsget	Assets/PackAssets/Audio/Effect/Aud_corpsget.mp3	ab_audio_effect	Aud_corpsget
Aud_shop	Assets/PackAssets/Audio/Effect/Aud_shop.mp3	ab_audio_effect	Aud_shop
Aud_wall	Assets/PackAssets/Audio/Effect/Aud_wall.mp3	ab_audio_effect	Aud_wall
Aud_smithy	Assets/PackAssets/Audio/Effect/Aud_smithy.wav	ab_audio_effect	Aud_smithy
Aud_craftsman	Assets/PackAssets/Audio/Effect/Aud_craftsman.mp3	ab_audio_effect	Aud_craftsman
Aud_hero	Assets/PackAssets/Audio/Effect/Aud_hero.mp3	ab_audio_effect	Aud_hero
Aud_buildingmain	Assets/PackAssets/Audio/Effect/Aud_buildingmain.mp3	ab_audio_effect	Aud_buildingmain
Aud_buildingtech	Assets/PackAssets/Audio/Effect/Aud_buildingtech.mp3	ab_audio_effect	Aud_buildingtech
Aud_mapempty	Assets/PackAssets/Audio/Effect/Aud_mapempty.wav	ab_audio_effect	Aud_mapempty
Aud_mapriver	Assets/PackAssets/Audio/Effect/Aud_mapriver.wav	ab_audio_effect	Aud_mapriver
Aud_mapmountain	Assets/PackAssets/Audio/Effect/Aud_mapmountain.wav	ab_audio_effect	Aud_mapmountain
Aud_maptown	Assets/PackAssets/Audio/Effect/Aud_maptown.mp3	ab_audio_effect	Aud_maptown
Aud_mapres	Assets/PackAssets/Audio/Effect/Aud_mapres.mp3	ab_audio_effect	Aud_mapres
Aud_mappickup	Assets/PackAssets/Audio/Effect/Aud_mappickup.mp3	ab_audio_effect	Aud_mappickup
Aud_mapenemy	Assets/PackAssets/Audio/Effect/Aud_mapenemy.wav	ab_audio_effect	Aud_mapenemy
Aud_armymove	Assets/PackAssets/Audio/Effect/Aud_armymove.mp3	ab_audio_effect	Aud_armymove
Aud_entergame	Assets/PackAssets/Audio/Effect/Aud_entergame.mp3	ab_audio_effect	Aud_entergame
Aud_notify	Assets/PackAssets/Audio/Effect/Aud_notify.mp3	ab_audio_effect	Aud_notify
Aud_join	Assets/PackAssets/Audio/Effect/Aud_join.mp3	ab_audio_effect	Aud_join
Aud_equipwash	Assets/PackAssets/Audio/Effect/Aud_equipwash.mp3	ab_audio_effect	Aud_equipwash
Aud_levelup	Assets/PackAssets/Audio/Effect/Aud_levelup.mp3	ab_audio_effect	Aud_levelup
Aud_success	Assets/PackAssets/Audio/Event/Aud_success.mp3	ab_audio_event	Aud_success
Aud_wancheng	Assets/PackAssets/Audio/Event/Aud_wancheng.wav	ab_audio_event	Aud_wancheng
Aud_win	Assets/PackAssets/Audio/Event/Aud_win.mp3	ab_audio_event	Aud_win
Aud_lost	Assets/PackAssets/Audio/Event/Aud_lost.mp3	ab_audio_event	Aud_lost
Aud_npctalk1	Assets/PackAssets/Audio/Event/Aud_npctalk1.mp3	ab_audio_event	Aud_npctalk1
Aud_npctalk2	Assets/PackAssets/Audio/Event/Aud_npctalk2.mp3	ab_audio_event	Aud_npctalk2
Aud_npctalk3	Assets/PackAssets/Audio/Event/Aud_npctalk3.mp3	ab_audio_event	Aud_npctalk3
Aud_npctalk4	Assets/PackAssets/Audio/Event/Aud_npctalk4.mp3	ab_audio_event	Aud_npctalk4
Aud_npctalk5	Assets/PackAssets/Audio/Event/Aud_npctalk5.mp3	ab_audio_event	Aud_npctalk5
Aud_npctalk6	Assets/PackAssets/Audio/Event/Aud_npctalk6.mp3	ab_audio_event	Aud_npctalk6
Aud_npctalk7	Assets/PackAssets/Audio/Event/Aud_npctalk7.mp3	ab_audio_event	Aud_npctalk7
Aud_npctalk8	Assets/PackAssets/Audio/Event/Aud_npctalk8.mp3	ab_audio_event	Aud_npctalk8
Aud_npctalk9	Assets/PackAssets/Audio/Event/Aud_npctalk9.mp3	ab_audio_event	Aud_npctalk9
Aud_npctalk10	Assets/PackAssets/Audio/Event/Aud_npctalk10.mp3	ab_audio_event	Aud_npctalk10
