资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
CharacterDefault	Assets/PackAssets/DefaultPrefab/CharacterDefault.prefab	defaultprefab	CharacterDefault
MainCity	Assets/PackAssets/MainCityPrefab/MainCity.prefab	maincityprefab	MainCity
BUILDING_Main	Assets/PackAssets/MainCityPrefab/BUILDING_Main.prefab	maincityprefab	BUILDING_Main
BUILDING_Wall	Assets/PackAssets/MainCityPrefab/BUILDING_Wall.prefab	maincityprefab	BUILDING_Wall
BUILDING_StoreHouse	Assets/PackAssets/MainCityPrefab/BUILDING_StoreHouse.prefab	maincityprefab	BUILDING_StoreHouse
BUILDING_Tech	Assets/PackAssets/MainCityPrefab/BUILDING_Tech.prefab	maincityprefab	BUILDING_Tech
BUILDING_Craftsman	Assets/PackAssets/MainCityPrefab/BUILDING_Craftsman.prefab	maincityprefab	BUILDING_Craftsman
BUILDING_Cabinet	Assets/PackAssets/MainCityPrefab/BUILDING_Cabinet.prefab	maincityprefab	BUILDING_Cabinet
BUILDING_Infantry	Assets/PackAssets/MainCityPrefab/BUILDING_Infantry.prefab	maincityprefab	BUILDING_Infantry
BUILDING_Cavalry	Assets/PackAssets/MainCityPrefab/BUILDING_Cavalry.prefab	maincityprefab	BUILDING_Cavalry
BUILDING_Archer	Assets/PackAssets/MainCityPrefab/BUILDING_Archer.prefab	maincityprefab	BUILDING_Archer
BUILDING_Militiaman_Infantry	Assets/PackAssets/MainCityPrefab/BUILDING_Militiaman_Infantry.prefab	maincityprefab	BUILDING_Militiaman_Infantry
BUILDING_Militiaman_Cavalry	Assets/PackAssets/MainCityPrefab/BUILDING_Militiaman_Cavalry.prefab	maincityprefab	BUILDING_Militiaman_Cavalry
BUILDING_Militiaman_Archer	Assets/PackAssets/MainCityPrefab/BUILDING_Militiaman_Archer.prefab	maincityprefab	BUILDING_Militiaman_Archer
