资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
Char_Default	Assets/Sprites/DefaultRes/Char_Default.png	defaultres	Char_Default
playerhead_00	Assets/Sprites/PlayerHead/playerhead_00.png	ab_playerhead	playerhead_00
playerhead_01	Assets/Sprites/PlayerHead/playerhead_01.png	ab_playerhead	playerhead_01
playerhead_02	Assets/Sprites/PlayerHead/playerhead_02.png	ab_playerhead	playerhead_02
playerhead_03	Assets/Sprites/PlayerHead/playerhead_03.png	ab_playerhead	playerhead_03
playerhead_04	Assets/Sprites/PlayerHead/playerhead_04.png	ab_playerhead	playerhead_04
playerhead_05	Assets/Sprites/PlayerHead/playerhead_05.png	ab_playerhead	playerhead_05
playerhead_06	Assets/Sprites/PlayerHead/playerhead_06.png	ab_playerhead	playerhead_06
playerhead_07	Assets/Sprites/PlayerHead/playerhead_07.png	ab_playerhead	playerhead_07
playerhead_08	Assets/Sprites/PlayerHead/playerhead_08.png	ab_playerhead	playerhead_08
playerhead_09	Assets/Sprites/PlayerHead/playerhead_09.png	ab_playerhead	playerhead_09
playerhead_10	Assets/Sprites/PlayerHead/playerhead_10.png	ab_playerhead	playerhead_10
playerhead_11	Assets/Sprites/PlayerHead/playerhead_11.png	ab_playerhead	playerhead_11
playerhead_normal	Assets/Sprites/PlayerHead/playerhead_normal.png	ab_playerhead	playerhead_normal
playerhead_00_face	Assets/Sprites/PlayerFace/playerhead_00_face.png	ab_playerhead	playerhead_00_face
playerhead_01_face	Assets/Sprites/PlayerFace/playerhead_01_face.png	ab_playerhead	playerhead_01_face
playerhead_02_face	Assets/Sprites/PlayerFace/playerhead_02_face.png	ab_playerhead	playerhead_02_face
playerhead_03_face	Assets/Sprites/PlayerFace/playerhead_03_face.png	ab_playerhead	playerhead_03_face
playerhead_04_face	Assets/Sprites/PlayerFace/playerhead_04_face.png	ab_playerhead	playerhead_04_face
playerhead_05_face	Assets/Sprites/PlayerFace/playerhead_05_face.png	ab_playerhead	playerhead_05_face
playerhead_06_face	Assets/Sprites/PlayerFace/playerhead_06_face.png	ab_playerhead	playerhead_06_face
playerhead_07_face	Assets/Sprites/PlayerFace/playerhead_07_face.png	ab_playerhead	playerhead_07_face
playerhead_08_face	Assets/Sprites/PlayerFace/playerhead_08_face.png	ab_playerhead	playerhead_08_face
playerhead_09_face	Assets/Sprites/PlayerFace/playerhead_09_face.png	ab_playerhead	playerhead_09_face
playerhead_10_face	Assets/Sprites/PlayerFace/playerhead_10_face.png	ab_playerhead	playerhead_10_face
playerhead_11_face	Assets/Sprites/PlayerFace/playerhead_11_face.png	ab_playerhead	playerhead_11_face
building_kind1	Assets/Sprites/MainCityRes/Buildings/building_kind1.png	ab_citybuildings	building_kind1
building_kind2	Assets/Sprites/MainCityRes/Buildings/building_kind2.png	ab_citybuildings	building_kind2
building_kind2_empty	Assets/Sprites/MainCityRes/Buildings/building_kind2_empty.png	ab_citybuildings	building_kind2_empty
building_kind2_fire	Assets/Sprites/MainCityRes/Buildings/building_kind2_fire.png	ab_citybuildings	building_kind2_fire
building_kind3	Assets/Sprites/MainCityRes/Buildings/building_kind3.png	ab_citybuildings	building_kind3
building_kind4	Assets/Sprites/MainCityRes/Buildings/building_kind4.png	ab_citybuildings	building_kind4
building_kind5	Assets/Sprites/MainCityRes/Buildings/building_kind5.png	ab_citybuildings	building_kind5
building_kind6	Assets/Sprites/MainCityRes/Buildings/building_kind6.png	ab_citybuildings	building_kind6
building_kind11	Assets/Sprites/MainCityRes/Buildings/building_kind11.png	ab_citybuildings	building_kind11
building_kind12	Assets/Sprites/MainCityRes/Buildings/building_kind12.png	ab_citybuildings	building_kind12
building_kind13	Assets/Sprites/MainCityRes/Buildings/building_kind13.png	ab_citybuildings	building_kind13
building_kind14	Assets/Sprites/MainCityRes/Buildings/building_kind14.png	ab_citybuildings	building_kind14
building_kind15	Assets/Sprites/MainCityRes/Buildings/building_kind15.png	ab_citybuildings	building_kind15
building_kind16	Assets/Sprites/MainCityRes/Buildings/building_kind16.png	ab_citybuildings	building_kind16
building_kind21	Assets/Sprites/MainCityRes/Buildings/building_kind21.png	ab_citybuildings	building_kind21
building_kind22	Assets/Sprites/MainCityRes/Buildings/building_kind22.png	ab_citybuildings	building_kind22
building_kind23	Assets/Sprites/MainCityRes/Buildings/building_kind23.png	ab_citybuildings	building_kind23
building_kind24	Assets/Sprites/MainCityRes/Buildings/building_kind24.png	ab_citybuildings	building_kind24
building_kind31	Assets/Sprites/MainCityRes/Buildings/building_kind31.png	ab_citybuildings	building_kind31
building_kind32	Assets/Sprites/MainCityRes/Buildings/building_kind32.png	ab_citybuildings	building_kind32
building_kind33	Assets/Sprites/MainCityRes/Buildings/building_kind33.png	ab_citybuildings	building_kind33
building_kind34	Assets/Sprites/MainCityRes/Buildings/building_kind34.png	ab_citybuildings	building_kind34
building_kind35	Assets/Sprites/MainCityRes/Buildings/building_kind35.png	ab_citybuildings	building_kind35
building_kind36	Assets/Sprites/MainCityRes/Buildings/building_kind36.png	ab_citybuildings	building_kind36
building_kind37	Assets/Sprites/MainCityRes/Buildings/building_kind37.png	ab_citybuildings	building_kind37
building_kind38	Assets/Sprites/MainCityRes/Buildings/building_kind38.png	ab_citybuildings	building_kind38
ui_login_serverstate_2	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_2.png	launchload	ui_login_serverstate_2
ui_login_serverstate_3	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_3.png	launchload	ui_login_serverstate_3
ui_login_serverstate_4	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_4.png	launchload	ui_login_serverstate_4
ui_login_serverstate_5	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_5.png	launchload	ui_login_serverstate_5
ui_login_serverstate_6	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_6.png	launchload	ui_login_serverstate_6
ui_login_serverstate_7	Assets/Sprites/UI_Dialog/launch/ui_login_serverstate_7.png	launchload	ui_login_serverstate_7
ui_icon_corps0	Assets/Sprites/UI_Dialog/Public/ui_icon_corps0.png	ui_dialog_public	ui_icon_corps0
ui_icon_corps1	Assets/Sprites/UI_Dialog/Public/ui_icon_corps1.png	ui_dialog_public	ui_icon_corps1
ui_icon_corps2	Assets/Sprites/UI_Dialog/Public/ui_icon_corps2.png	ui_dialog_public	ui_icon_corps2
ui_icon_nation0	Assets/Sprites/UI_Dialog/Public/ui_icon_nation0.png	ui_dialog_public	ui_icon_nation0
ui_icon_nation1	Assets/Sprites/UI_Dialog/Public/ui_icon_nation1.png	ui_dialog_public	ui_icon_nation1
ui_icon_nation2	Assets/Sprites/UI_Dialog/Public/ui_icon_nation2.png	ui_dialog_public	ui_icon_nation2
ui_icon_nation3	Assets/Sprites/UI_Dialog/Public/ui_icon_nation3.png	ui_dialog_public	ui_icon_nation3
ui_icon_nationflag_1	Assets/Sprites/UI_Dialog/Public/ui_icon_nationflag_1.png	ui_dialog_public	ui_icon_nationflag_1
ui_icon_nationflag_2	Assets/Sprites/UI_Dialog/Public/ui_icon_nationflag_2.png	ui_dialog_public	ui_icon_nationflag_2
ui_icon_nationflag_3	Assets/Sprites/UI_Dialog/Public/ui_icon_nationflag_3.png	ui_dialog_public	ui_icon_nationflag_3
ui_icon_lock_1	Assets/Sprites/UI_Dialog/Public/ui_icon_lock_1.png	ui_dialog_public	ui_icon_lock_1
ui_icon_add	Assets/Sprites/UI_Dialog/Public/ui_icon_add.png	ui_dialog_public	ui_icon_add
ui_cond_yes	Assets/Sprites/UI_Dialog/Public/ui_cond_yes.png	ui_dialog_public	ui_cond_yes
ui_cond_no	Assets/Sprites/UI_Dialog/Public/ui_cond_no.png	ui_dialog_public	ui_cond_no
ui_button_page1	Assets/Sprites/UI_Dialog/Public/ui_button_page1.png	ui_dialog_public	ui_button_page1
ui_button_page2	Assets/Sprites/UI_Dialog/Public/ui_button_page2.png	ui_dialog_public	ui_button_page2
ui_button_page3	Assets/Sprites/UI_Dialog/Public/ui_button_page3.png	ui_dialog_public	ui_button_page3
ui_button_page4	Assets/Sprites/UI_Dialog/Public/ui_button_page4.png	ui_dialog_public	ui_button_page4
ui_button_select1	Assets/Sprites/UI_Dialog/Public/ui_button_select1.png	ui_dialog_public	ui_button_select1
ui_button_select2	Assets/Sprites/UI_Dialog/Public/ui_button_select2.png	ui_dialog_public	ui_button_select2
ui_button_select3	Assets/Sprites/UI_Dialog/Public/ui_button_select3.png	ui_dialog_public	ui_button_select3
ui_button_select4	Assets/Sprites/UI_Dialog/Public/ui_button_select4.png	ui_dialog_public	ui_button_select4
ui_button_3	Assets/Sprites/UI_Dialog/Public/ui_button_3.png	ui_dialog_public	ui_button_3
ui_button_13	Assets/Sprites/UI_Dialog/Public/ui_button_13.png	ui_dialog_public	ui_button_13
ui_button_17	Assets/Sprites/UI_Dialog/Public/ui_button_17.png	ui_dialog_public	ui_button_17
ui_button_18	Assets/Sprites/UI_Dialog/Public/ui_button_18.png	ui_dialog_public	ui_button_18
ui_battle_icon_3	Assets/Sprites/UI_Dialog/Public/ui_battle_icon_3.png	ui_dialog_public	ui_battle_icon_3
ui_battle_icon_4	Assets/Sprites/UI_Dialog/Public/ui_battle_icon_4.png	ui_dialog_public	ui_battle_icon_4
ui_battle_icon_5	Assets/Sprites/UI_Dialog/Public/ui_battle_icon_5.png	ui_dialog_public	ui_battle_icon_5
ui_color_0	Assets/Sprites/UI_Dialog/Public/ui_color_0.png	ui_dialog_public	ui_color_0
ui_color_1	Assets/Sprites/UI_Dialog/Public/ui_color_1.png	ui_dialog_public	ui_color_1
ui_color_2	Assets/Sprites/UI_Dialog/Public/ui_color_2.png	ui_dialog_public	ui_color_2
ui_color_3	Assets/Sprites/UI_Dialog/Public/ui_color_3.png	ui_dialog_public	ui_color_3
ui_color_4	Assets/Sprites/UI_Dialog/Public/ui_color_4.png	ui_dialog_public	ui_color_4
ui_color_5	Assets/Sprites/UI_Dialog/Public/ui_color_5.png	ui_dialog_public	ui_color_5
ui_colorback_0	Assets/Sprites/UI_Dialog/Public/ui_colorback_0.png	ui_dialog_public	ui_colorback_0
ui_colorback_1	Assets/Sprites/UI_Dialog/Public/ui_colorback_1.png	ui_dialog_public	ui_colorback_1
ui_colorback_2	Assets/Sprites/UI_Dialog/Public/ui_colorback_2.png	ui_dialog_public	ui_colorback_2
ui_colorback_3	Assets/Sprites/UI_Dialog/Public/ui_colorback_3.png	ui_dialog_public	ui_colorback_3
ui_colorback_4	Assets/Sprites/UI_Dialog/Public/ui_colorback_4.png	ui_dialog_public	ui_colorback_4
ui_colorback_5	Assets/Sprites/UI_Dialog/Public/ui_colorback_5.png	ui_dialog_public	ui_colorback_5
ui_colornameback_0	Assets/Sprites/UI_Dialog/Public/ui_colornameback_0.png	ui_dialog_public	ui_colornameback_0
ui_colornameback_1	Assets/Sprites/UI_Dialog/Public/ui_colornameback_1.png	ui_dialog_public	ui_colornameback_1
ui_colornameback_2	Assets/Sprites/UI_Dialog/Public/ui_colornameback_2.png	ui_dialog_public	ui_colornameback_2
ui_colornameback_3	Assets/Sprites/UI_Dialog/Public/ui_colornameback_3.png	ui_dialog_public	ui_colornameback_3
ui_colornameback_4	Assets/Sprites/UI_Dialog/Public/ui_colornameback_4.png	ui_dialog_public	ui_colornameback_4
ui_colornameback_5	Assets/Sprites/UI_Dialog/Public/ui_colornameback_5.png	ui_dialog_public	ui_colornameback_5
ui_icon_res_silver	Assets/Sprites/UI_Dialog/Public/ui_icon_res_silver.png	ui_dialog_public	ui_icon_res_silver
ui_icon_res_wood	Assets/Sprites/UI_Dialog/Public/ui_icon_res_wood.png	ui_dialog_public	ui_icon_res_wood
ui_icon_res_food	Assets/Sprites/UI_Dialog/Public/ui_icon_res_food.png	ui_dialog_public	ui_icon_res_food
ui_icon_res_iron	Assets/Sprites/UI_Dialog/Public/ui_icon_res_iron.png	ui_dialog_public	ui_icon_res_iron
ui_icon_res_token	Assets/Sprites/UI_Dialog/Public/ui_icon_res_token.png	ui_dialog_public	ui_icon_res_token
ui_icon_back_1	Assets/Sprites/UI_Dialog/Public/ui_icon_back_1.png	ui_dialog_public	ui_icon_back_1
ui_icon_back_2	Assets/Sprites/UI_Dialog/Public/ui_icon_back_2.png	ui_dialog_public	ui_icon_back_2
ui_icon_back_3	Assets/Sprites/UI_Dialog/Public/ui_icon_back_3.png	ui_dialog_public	ui_icon_back_3
ui_icon_back_4	Assets/Sprites/UI_Dialog/Public/ui_icon_back_4.png	ui_dialog_public	ui_icon_back_4
ui_icon_back_8	Assets/Sprites/UI_Dialog/Public/ui_icon_back_8.png	ui_dialog_public	ui_icon_back_8
ui_icon_arrow_up	Assets/Sprites/UI_Dialog/Public/ui_icon_arrow_up.png	ui_dialog_public	ui_icon_arrow_up
ui_icon_lock	Assets/Sprites/UI_Dialog/Public/ui_icon_lock.png	ui_dialog_public	ui_icon_lock
ui_icon_star_1	Assets/Sprites/UI_Dialog/Public/ui_icon_star_1.png	ui_dialog_public	ui_icon_star_1
ui_icon_star_2	Assets/Sprites/UI_Dialog/Public/ui_icon_star_2.png	ui_dialog_public	ui_icon_star_2
ui_progress_image_3	Assets/Sprites/UI_Dialog/Public/ui_progress_image_3.png	ui_dialog_public	ui_progress_image_3
ui_progress_image_4	Assets/Sprites/UI_Dialog/Public/ui_progress_image_4.png	ui_dialog_public	ui_progress_image_4
ui_progress_image_9	Assets/Sprites/UI_Dialog/Public/ui_progress_image_9.png	ui_dialog_public	ui_progress_image_9
ui_progress_image_10	Assets/Sprites/UI_Dialog/Public/ui_progress_image_10.png	ui_dialog_public	ui_progress_image_10
ui_chatdlg_talkback_1	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkback_1.png	ui_dialog_public	ui_chatdlg_talkback_1
ui_chatdlg_talkback_2	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkback_2.png	ui_dialog_public	ui_chatdlg_talkback_2
ui_chatdlg_talkback_3	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkback_3.png	ui_dialog_public	ui_chatdlg_talkback_3
ui_chatdlg_talkarrow_1	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkarrow_1.png	ui_dialog_public	ui_chatdlg_talkarrow_1
ui_chatdlg_talkarrow_2	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkarrow_2.png	ui_dialog_public	ui_chatdlg_talkarrow_2
ui_chatdlg_talkarrow_3	Assets/Sprites/UI_Dialog/Public/ui_chatdlg_talkarrow_3.png	ui_dialog_public	ui_chatdlg_talkarrow_3
ui_mapmain_weather_0	Assets/Sprites/UI_Dialog/Public/ui_mapmain_weather_0.png	ui_dialog_public	ui_mapmain_weather_0
ui_mapmain_weather_1	Assets/Sprites/UI_Dialog/Public/ui_mapmain_weather_1.png	ui_dialog_public	ui_mapmain_weather_1
ui_mapmain_weather_2	Assets/Sprites/UI_Dialog/Public/ui_mapmain_weather_2.png	ui_dialog_public	ui_mapmain_weather_2
ui_mapmain_weather_lock	Assets/Sprites/UI_Dialog/Public/ui_mapmain_weather_lock.png	ui_dialog_public	ui_mapmain_weather_lock
