id	text
1	官府
2	城墙
3	仓库
4	太学院
5	作坊
6	内阁
11	步兵营
12	骑兵营
13	弓兵营
14	民兵营
15	民兵营
16	民兵营
21	民居
22	林场
23	农田
24	矿场
31	铁匠铺
32	洗炼铺
33	坊市
34	商店
35	点将台
36	聚宝阁
37	帮助
38	女将商店
39	竞技场
49	民兵营
50	获得新建筑
51	可征收资源
52	可抵御外敌
53	可保护部分资源
54	可研究科技
55	可生产材料
56	可派遣武将采集
61	可招募步兵
62	可招募骑兵
63	可招募弓兵
64	可招募更多步兵
65	可招募更多骑兵
66	可招募更多弓兵
71	可生产银两
72	可生产木材
73	可生产粮草
74	可生产镔铁
81	可打造装备
82	可洗炼装备
83	可寻访女将
84	可购买稀缺道具
85	可容纳武将
86	开启每日聚宝
87	描述各种玩法规则
98	等级{0}级
99	{0}号{1}
100	主公
101	魏
102	蜀
103	吴
110	群雄
111	魏国
112	蜀国
113	吴国
115	领土
119	经验
120	获得
121	银币
122	木材
123	粮草
124	镔铁
125	元宝
126	体力
127	人口
128	主公经验
129	战力
130	爵位
131	官职
132	区域
133	国家
134	步兵
135	骑兵
136	弓兵
137	总资质: {0}
138	攻资质: {0}
139	防资质: {0}
140	兵资质: {0}
141	闲
142	战
143	攻资
144	防资
145	兵资
146	攻击
147	防御
148	兵力
149	总资质
150	<color=#03de27ff>主公等级提升</color>
151	内城
152	威望
153	秒
154	分钟
155	小时
156	天
157	<color=#f7f3bbff>白色品质</color>
158	<color=#03de27ff>绿色品质</color>
159	<color=#25c9ffff>蓝色品质</color>
160	<color=#d95df4ff>紫色品质</color>
161	<color=#ffde00ff>金色品质</color>
162	<color=#e80017ff>红色品质</color>
163	<color=#0xf7f3bbff>预留品质</color>
164	<color=#0xf7f3bbff>预留品质</color>
165	强攻
166	强防
167	攻城
168	守城
170	{0}等级提升
171	铸币所
172	伐木所
173	屯田所
174	冶铁所
175	金矿
181	县城
182	郡城
183	治所
184	诸侯封地
185	国家封地
186	皇都
190	vip经验
191	自动建造次数
192	经验
200	平民
201	公士
202	大夫
203	官大夫
204	公大夫
205	五大夫
206	左庶长
207	右庶长
208	左更
209	中更
210	右更
211	少上造
212	大上造
213	都停伯
214	都乡伯
215	忠勇伯
216	武威伯
217	关中侯
218	建功侯
219	关内侯
220	紫衣侯
221	太常公
222	安国公
223	定国公
224	大都督
240	无
241	魏王
242	蜀王
243	吴王
244	丞相
245	军师
246	将军
259	侍女
260	平民描述
261	公士描述
262	大夫描述
263	官大夫描述
264	公大夫描述
265	五大夫描述
266	左庶长描述
267	右庶长描述
268	左更描述
269	中更描述
270	右更描述
271	少上造描述
272	大上造描述
273	都停伯描述
274	都乡伯描述
275	忠勇伯描述
276	武微伯描述
277	关中侯描述
278	建功侯描述
279	关内侯描述
280	紫衣侯描述
281	太常公描述
282	安国公描述
296	空闲
297	出征中
298	采集中
299	采
301	联系客服
302	提交
303	GM
310	账户登录
311	账号
312	密码
313	点击输入账户名
314	点击输入密码
315	<u>游客试玩</u>
316	<u>注册账号</u>
317	登录
318	账户注册
319	输入密码
320	确认密码
321	邮箱
322	注册
323	点击输入账户名(英文，数字)
324	点击输入密码
325	再次输入密码
326	*为了能够更好的为您服务，建议您完善信息，我们将给予您游戏元宝奖励
327	*邮箱仅用于找回密码的必要凭证（非必填）
328	点击输入邮箱
329	用户中心
330	当前登陆方式为<color=#03DE27FF>游客</color>，卸载游戏或重新安装游戏可能丢失角色信息，为了保障账户安全，请您尽快绑定账号！
331	账户详情
332	修改密码
333	绑定
334	修改密码
335	老密码
336	输入新密码
337	确认新密码
338	点击输入老密码
339	点击输入新密码
340	点击输入新密码
341	确认修改
402	退出
403	正在检查最新版本
404	正在更新资源
406	请确认您的网络是否已连接
407	发现{0:F}MB新资源需要更新，是否现在下载更新吗？
408	立即更新
409	进入游戏
410	登录中
411	系统维护中
412	正在获取服务器列表
413	服务器列表获取失败
414	账户
