id	text
1	主公等级达到{0}级
2	将{0}升级到{1}级
3	{0}/{1}个民居达到{2}级
4	{0}/{1}个木场达到{2}级
5	{0}/{1}个农田达到{2}级
6	{0}/{1}个矿场达到{2}级
7	征收资源{0}/{1}次
8	通关副本{0}
9	剿灭流寇{0}/{1}队
10	攻打{0}级流寇{1}/{2}次
11	打造装备{0}{1}/{2}
12	装备洗炼次数{0}/{1}
13	将{0}品质装备的属性洗炼至满级
14	募兵{0}{1}/{2}数量
15	募兵{0}/{1}次
16	研究{0}科技{1}/{2}级
17	研究一次{0}科技
18	武将洗髓{0}/{1}次
19	将一名{0}品质的武将属性洗满
20	招募武将{0}
21	前往聚宝盆聚宝{0}/{1}次
22	成功击败{0}/{1}名敌国玩家
23	将{0}和{1}升级到{2}级
24	给{0}穿戴{1}
25	完成任意{0}/{1}项支线任务
26	进行{0}/{1}次铁匠铺加速打造
27	前往聚贤馆让{0}上阵
28	铁匠铺内雇佣{0}级或更高级铁匠
29	打造国器{0}
30	国器升级{0}/{1}次
31	材料作坊生产材料{0}/{1}次
32	御林卫上阵任意武将{0}/{1}个
33	进行良将寻访{0}/{1}次
34	前往副本{0}招募武将
89	国器
90	等级
91	建筑
92	副本
93	军事
94	装备
95	武将
96	科技
97	支线
98	材料
99	操作
100	===========================以上为任务通用名，以下为任务特殊名=========================
101	欢迎主公来到三国世界
102	请主公留下大名
103	请查看驻留在木场上的马岱
104	免费加速官府使其建造完成
105	围剿扰乱民居的山贼
106	前往世界
107	回到内城视察
108	查看城中新开的铁匠铺
109	前往副本
110	攻打黄巾之乱一
111	击败黄巾之乱二
112	击败黄巾之乱三
113	升级民居5到2级
114	继续升级民居5到3级
115	打造装备铁鬃马
116	给马岱穿戴铁鬃马
117	招募武将张梁
118	再打造一把古锭刀
119	再打造一把铁鬃马
120	给张梁穿戴古锭刀
121	给张梁穿戴铁鬃马
122	开始升级官府至4级
123	击败张角
124	招募张角
125	前往聚贤馆让张角上阵
126	打造装备寒铁甲
127	给武将穿戴寒铁甲
128	打造镔铁盔
129	进行一次铁匠加速打造
130	给武将穿戴镔铁盔
131	打造装备守备印
132	给武将穿戴守备印
133	打造装备千营符
134	给武将穿戴千营符
135	前往聚贤馆上阵刚刚招募的骑兵武将
136	前往世界清剿流寇
137	击退4级流寇
138	击退5级流寇
139	击退6级流寇
140	回到内城等待部队归来
141	待部队和战利品归来后打造龙胆枪
142	前往世界击杀更多流寇来获取蓝图纸
143	研究超强科技初级点兵术
144	进行一次铁匠加速打造
145	研究超强科技初级统帅力
146	研究超强科技中级统帅力
147	御林卫上阵任意武将1个
500	===========================以上为任务特殊名，以下为任务详情描述=========================
2000	=========================以上为任务详情描述，以下为世界任务描述和名称=========================
2001	流寇通缉令
2002	流寇通缉令
2003	流寇通缉令
2004	攻克营地
2005	攻克郡县
2006	攻克郡城
2007	世界boss
2008	攻克州郡
2009	攻克州城
2010	世界boss
2050	您的国家首先完成任务，您可获得双倍奖励
2051	累计击杀{0}个流寇获得上面的奖励{1}\n推荐击杀1-3级流寇
2052	累计击杀{0}个流寇获得上面的奖励{1}\n推荐击杀3-6级流寇
2053	累计击杀{0}个流寇获得上面的奖励{1}\n推荐击杀6-7级流寇
2054	全服任意国家挑战成功任意郡地图的营地{0}\n所有主攻均可获得奖励\n首次攻克营地的国家主攻可获得双倍经历
2055	全服任意国家挑战成功任意郡地图的县{0}\n所有主攻均可获得奖励\n首次攻克县的国家主攻可获得双倍经历
2056	全服任意国家挑战成功任意郡地图的市{0}\n所有主攻均可获得奖励\n首次攻克市的国家主攻可获得双倍经历
2057	击败后开启州地
2058	全服任意国家挑战成功任意州地图的郡{0}\n所有主攻均可获得奖励\n首次攻克州郡的国家主攻可获得双倍经历
2059	全服任意国家挑战成功任意郡地图的府{0}\n所有主攻均可获得奖励\n首次攻克州府的国家主攻可获得双倍经历
2060	击败后开启血战皇城
3000	=========================以下为任务对话文本=========================
3001	这是一款<color=green>国战类</color>游戏!\n为了迎接45级开始的宏大国战，请主公带领大家建设城池。
3002	主公建设的真是不错
3003	还请主公告知<color=green>尊姓大名</color>，我们必将祝您名震天下！
3004	主公，前方木场发现一位<color=green>重伤的少年</color>！
3005	这少年叫<color=green>马岱</color>。昨日数名山贼侵袭木场，马岱为掩护木工逃离，受了重伤。
3006	救治马岱
3007	承蒙相救，在下万分感激！\n末将<color=green>马岱</color>，愿追随主公！
3008	城中木工感恩主公相救，自发组织了<color=green>自动建造队</color>，望能替主公<color=green>重建木场</color>。
3009	自动建造队的确不错，这么快就把木场都建起来了。
3010	其他建筑等级不能超过官府等级，主公先提升<color=green>官府的等级</color>，再继续扩大木场吧。
3011	主公，建筑升级都可以<color=green>免费加速</color>，但最多<color=green>加速5分钟</color>。
3012	<color=green>通过充值提升VIP等级</color>可以免费加速更多的时间～
3013	主公，官府升级成功！我们可以开始升级<color=green>民居</color>和其他建筑了
3014	山贼竟又来民居骚扰！\n主公，还请准予末将出兵讨贼。
3015	前日出没的山贼又来民居骚扰，马代将军希望能带兵清剿他们。
3016	清剿山贼
