id	text
1	鹿皮
2	犀牛皮
3	龍鱗
4	饕餮皮
11	石塊
12	晶石
13	五彩石
14	赤金琉璃
21	精木
22	不朽木
23	神木
24	萬年樹心
31	藍鑽
32	紫金
33	隕鋼
34	星鐵
41	虎筋弓圖紙
42	龍膽槍圖紙
43	銀蛇矛圖紙
44	七星刀圖紙
45	青鬃馬圖紙
46	清風馬圖紙
47	赤電駒圖紙
48	麒麟馬圖紙
49	亮銀甲圖紙
50	青翼铠圖紙
51	烏金甲圖紙
52	朱雀铠圖紙
53	虎皮盔圖紙
54	青翼盔圖紙
55	赤金盔圖紙
56	鳳麟盔圖紙
57	校尉印圖紙
58	偏将印圖紙
59	大将印圖紙
60	虎将印圖紙
61	蒼雲符圖紙
62	星魂符圖紙
63	真火符圖紙
64	風嘯符圖紙
65	方天戟圖紙
66	赤兔馬圖紙
67	青龍铠圖紙
68	龍鱗盔圖紙
69	神将印圖紙
70	天機符圖紙
81	藍材料随機箱小
82	藍材料随機箱小
83	藍材料随機箱大
84	紫材料随機箱小
85	紫材料随機箱小
86	紫材料随機箱大
87	金材料随機箱小
88	金材料随機箱小
89	金材料随機箱大
91	藍色材料箱小
92	藍色材料箱大
93	紫色材料箱小
94	紫色材料箱大
95	金色材料箱小
96	金色材料箱大
97	紅材料随機箱小
98	紅材料随機箱小
99	紅材料随機箱大
101	小包銀兩
102	中包銀兩
103	大包銀兩
104	小包木材
105	中包木材
106	大包木材
107	小包糧草
108	中包糧草
109	大包糧草
110	小包镔鐵
111	中包镔鐵
112	大包镔鐵
120	銀兩
121	木材
122	糧草
123	镔鐵
124	元寶
125	功勳
126	體力
127	經驗
128	步兵
129	騎兵
130	弓兵
131	低級遷城
132	随機遷城
133	高級遷城
134	5分鍾加速
135	1小時加速
136	12小時加速
137	高級行軍加速
138	頂級行軍加速
139	撤軍令
140	免戰牌
141	高級免戰牌
142	立即完成
151	綠色圖紙箱
152	藍色圖紙箱
153	紫色圖紙箱
154	金色圖紙箱
161	初級武将經驗
162	中級武将經驗
163	高級武将經驗
164	洗髓丹
171	喇叭
172	改名卡
173	将令
181	縣城強征令
182	郡城強征令
183	治所強征令
184	封地強征令
185	封地強征令
186	封地強征令
201	風字令
202	火字令
203	山字令
204	林字令
221	蜂蜜杏仁露
222	珍珠
223	果酸美肌
224	三從四德
225	琴棋書畫
226	六韬
227	九九乘法表
228	鬼谷子傳記
229	孫子兵法
241	民居圖紙1
242	民居圖紙2
243	民居圖紙3
244	民居圖紙4
245	民居圖紙5
246	民居圖紙6
247	民居圖紙7
248	民居圖紙8
249	民居圖紙9
250	民居圖紙10
251	民居圖紙11
252	民居圖紙12
253	民居圖紙13
254	民居圖紙14
255	民居圖紙15
256	民居圖紙16
257	民居圖紙17
258	民居圖紙18
259	民居圖紙19
260	民居圖紙20
261	民居圖紙21
262	民居圖紙22
263	民居圖紙23
264	民居圖紙24
265	民居圖紙25
266	民居圖紙26
267	民居圖紙27
268	民居圖紙28
269	民居圖紙29
270	民居圖紙30
291	農田圖紙1
292	農田圖紙2
293	農田圖紙3
294	農田圖紙4
295	農田圖紙5
296	農田圖紙6
297	農田圖紙7
298	農田圖紙8
299	農田圖紙9
300	農田圖紙10
301	農田圖紙11
302	農田圖紙12
303	農田圖紙13
304	農田圖紙14
305	農田圖紙15
306	農田圖紙16
307	農田圖紙17
308	農田圖紙18
309	農田圖紙19
310	農田圖紙20
311	農田圖紙21
312	農田圖紙22
313	農田圖紙23
314	農田圖紙24
315	農田圖紙25
316	農田圖紙26
317	農田圖紙27
318	農田圖紙28
319	農田圖紙29
320	農田圖紙30
341	林場圖紙1
342	林場圖紙2
343	林場圖紙3
344	林場圖紙4
345	林場圖紙5
346	林場圖紙6
347	林場圖紙7
348	林場圖紙8
349	林場圖紙9
350	林場圖紙10
351	林場圖紙11
352	林場圖紙12
353	林場圖紙13
354	林場圖紙14
355	林場圖紙15
356	林場圖紙16
357	林場圖紙17
358	林場圖紙18
359	林場圖紙19
360	林場圖紙20
361	林場圖紙21
362	林場圖紙22
363	林場圖紙23
364	林場圖紙24
365	林場圖紙25
366	林場圖紙26
367	林場圖紙27
368	林場圖紙28
369	林場圖紙29
370	林場圖紙30
391	鐵礦圖紙1
392	鐵礦圖紙2
393	鐵礦圖紙3
394	鐵礦圖紙4
395	鐵礦圖紙5
396	鐵礦圖紙6
397	鐵礦圖紙7
398	鐵礦圖紙8
399	鐵礦圖紙9
400	鐵礦圖紙10
401	鐵礦圖紙11
402	鐵礦圖紙12
403	鐵礦圖紙13
404	鐵礦圖紙14
405	鐵礦圖紙15
406	鐵礦圖紙16
407	鐵礦圖紙17
408	鐵礦圖紙18
409	鐵礦圖紙19
410	鐵礦圖紙20
411	鐵礦圖紙21
412	鐵礦圖紙22
413	鐵礦圖紙23
414	鐵礦圖紙24
415	鐵礦圖紙25
416	鐵礦圖紙26
417	鐵礦圖紙27
418	鐵礦圖紙28
419	鐵礦圖紙29
420	鐵礦圖紙30
441	銀兩購買符
442	木材購買符
443	糧草購買符
444	镔鐵購買符
445	步兵購買符
446	騎兵購買符
447	弓兵購買符
451	青虹劍碎片
452	天蠶衣碎片
453	聖火令碎片
454	落日弓碎片
455	乾坤袋碎片
456	太平要術碎片
457	金色禦賜寶箱
458	紅色禦賜寶箱
459	綠色圖紙箱
460	高級撤軍令
461	體力丹
462	免費洗煉次數
463	随機資源箱
464	5000騎兵購買
465	5000步兵購買
466	5000弓兵購買
467	自動建造
468	人口購買
469	初級建造隊
470	高級建造隊
471	補充城防
473	軍曹官
474	武卒官
475	武卒官
476	武卒官
481	VIP點數10
482	VIP點數20
483	VIP點數30
484	良将令
485	名将令
486	城戰令
487	友誼積分
489	袁術的密信
490	抵扣券
491	返利券
492	活躍度
5001	<color=#bbddf3>野鹿的皮，是打造藍色裝備的材料</color>
5002	<color=#bbddf3>犀牛的裝甲，是打造紫色裝備的材料</color>
5003	<color=#bbddf3>據說是上古神獸的毛皮，是打造金色裝備的材料</color>
5011	<color=#bbddf3>上好的的青銅，是打造藍色裝備的材料</color>
5012	<color=#bbddf3>神秘通透的晶石，是打造金色裝備的材料</color>
5013	<color=#bbddf3>五彩斑斓的寶石，是打造紅色裝備的材料</color>
5021	<color=#bbddf3>上好的木材，，是打造藍色裝備的材料</color>
5022	<color=#bbddf3>堅硬如鐵，遇水即沉的木材，是打造金色裝備的材料</color>
5023	<color=#bbddf3>鳳凰木上獲得的木材，是打造紅色裝備的材料</color>
5031	<color=#bbddf3>泛着紫光的金屬，是打造金色裝備的材料</color>
5032	<color=#bbddf3>天外隕石所化之鐵，無堅不摧，是打造紅色裝備的材料</color>
5041	<color=#bbddf3>一張綠色圖紙，用于打造虎筋弓</color>
5042	<color=#bbddf3>一張藍色圖紙，用于打造龍膽槍</color>
5043	<color=#bbddf3>一張金色圖紙，用于打造銀蛇矛</color>
5044	<color=#bbddf3>一張紅色圖紙，用于打造七星刀</color>
5045	<color=#bbddf3>一張綠色圖紙，用于打造青鬃馬</color>
5046	<color=#bbddf3>一張藍色圖紙，用于打造清風馬</color>
5047	<color=#bbddf3>一張金色圖紙，用于打造赤電駒</color>
5048	<color=#bbddf3>一張紅色圖紙，用于打造麒麟馬</color>
5049	<color=#bbddf3>一張綠色圖紙，用于打造亮銀甲</color>
5050	<color=#bbddf3>一張藍色圖紙，用于打造青翼铠</color>
5051	<color=#bbddf3>一張金色圖紙，用于打造烏金甲</color>
5052	<color=#bbddf3>一張紅色圖紙，用于打造朱雀铠</color>
5053	<color=#bbddf3>一張綠色圖紙，用于打造虎皮盔</color>
5054	<color=#bbddf3>一張藍色圖紙，用于打造青翼盔</color>
5055	<color=#bbddf3>一張金色圖紙，用于打造赤金盔</color>
5056	<color=#bbddf3>一張紅色圖紙，用于打造鳳麟盔</color>
5057	<color=#bbddf3>一張綠色圖紙，用于打造校尉印</color>
5058	<color=#bbddf3>一張藍色圖紙，用于打造偏将印</color>
5059	<color=#bbddf3>一張金色圖紙，用于打造大将印</color>
5060	<color=#bbddf3>一張紅色圖紙，用于打造虎将印</color>
5061	<color=#bbddf3>一張綠色圖紙，用于打造蒼雲符</color>
5062	<color=#bbddf3>一張藍色圖紙，用于打造星魂符</color>
5063	<color=#bbddf3>一張金色圖紙，用于打造真火符</color>
5064	<color=#bbddf3>一張紫色圖紙，用于打造風嘯符</color>
5065	<color=#bbddf3>一張紫色圖紙，用于打造方天戟</color>
5066	<color=#bbddf3>一張紫色圖紙，用于打造赤兔馬</color>
5067	<color=#bbddf3>一張紫色圖紙，用于打造青龍铠</color>
