资源键名	Resources模式资源名	所在assetBundle名称	所在assetBundle资源名
CharacterDefault	PackAssets/DefaultPrefab/CharacterDefault	defaultprefab	CharacterDefault
MainCity	PackAssets/MainCityPrefab/MainCity	maincityprefab	MainCity
BUILDING_Main	PackAssets/MainCityPrefab/BUILDING_Main	maincityprefab	BUILDING_Main
BUILDING_Wall	PackAssets/MainCityPrefab/BUILDING_Wall	maincityprefab	BUILDING_Wall
BUILDING_StoreHouse	PackAssets/MainCityPrefab/BUILDING_StoreHouse	maincityprefab	BUILDING_StoreHouse
BUILDING_Tech	PackAssets/MainCityPrefab/BUILDING_Tech	maincityprefab	BUILDING_Tech
BUILDING_Craftsman	PackAssets/MainCityPrefab/BUILDING_Craftsman	maincityprefab	BUILDING_Craftsman
BUILDING_Cabinet	PackAssets/MainCityPrefab/BUILDING_Cabinet	maincityprefab	BUILDING_Cabinet
BUILDING_Infantry	PackAssets/MainCityPrefab/BUILDING_Infantry	maincityprefab	BUILDING_Infantry
BUILDING_Cavalry	PackAssets/MainCityPrefab/BUILDING_Cavalry	maincityprefab	BUILDING_Cavalry
BUILDING_Archer	PackAssets/MainCityPrefab/BUILDING_Archer	maincityprefab	BUILDING_Archer
BUILDING_Militiaman_Infantry	PackAssets/MainCityPrefab/BUILDING_Militiaman_Infantry	maincityprefab	BUILDING_Militiaman_Infantry
BUILDING_Militiaman_Cavalry	PackAssets/MainCityPrefab/BUILDING_Militiaman_Cavalry	maincityprefab	BUILDING_Militiaman_Cavalry
BUILDING_Militiaman_Archer	PackAssets/MainCityPrefab/BUILDING_Militiaman_Archer	maincityprefab	BUILDING_Militiaman_Archer
BUILDING_Silver	PackAssets/MainCityPrefab/BUILDING_Silver	maincityprefab	BUILDING_Silver
BUILDING_Wood	PackAssets/MainCityPrefab/BUILDING_Wood	maincityprefab	BUILDING_Wood
BUILDING_Food	PackAssets/MainCityPrefab/BUILDING_Food	maincityprefab	BUILDING_Food
BUILDING_Iron	PackAssets/MainCityPrefab/BUILDING_Iron	maincityprefab	BUILDING_Iron
BUILDING_Smithy	PackAssets/MainCityPrefab/BUILDING_Smithy	maincityprefab	BUILDING_Smithy
BUILDING_Wash	PackAssets/MainCityPrefab/BUILDING_Wash	maincityprefab	BUILDING_Wash
BUILDING_Fangshi	PackAssets/MainCityPrefab/BUILDING_Fangshi	maincityprefab	BUILDING_Fangshi
BUILDING_Shop	PackAssets/MainCityPrefab/BUILDING_Shop	maincityprefab	BUILDING_Shop
BUILDING_Hero	PackAssets/MainCityPrefab/BUILDING_Hero	maincityprefab	BUILDING_Hero
BUILDING_Wishing	PackAssets/MainCityPrefab/BUILDING_Wishing	maincityprefab	BUILDING_Wishing
BUILDING_Help	PackAssets/MainCityPrefab/BUILDING_Help	maincityprefab	BUILDING_Help
UIP_Loading	PackAssets/UI_Prefab/UIPart/UIP_Loading	ui_prefab	UIP_Loading
DialogFrameMod	PackAssets/UI_Prefab/DialogFrameMod	ui_prefab	DialogFrameMod
AlertDlg	PackAssets/UI_Prefab/AlertDlg	ui_prefab	AlertDlg
BagDlg	PackAssets/UI_Prefab/BagDlg	ui_prefab	BagDlg
BuildingGetDlg	PackAssets/UI_Prefab/BuildingGetDlg	ui_prefab	BuildingGetDlg
BuildingCreateDlg	PackAssets/UI_Prefab/BuildingCreateDlg	ui_prefab	BuildingCreateDlg
BuildingUpgradeDlg	PackAssets/UI_Prefab/BuildingUpgradeDlg	ui_prefab	BuildingUpgradeDlg
BuyWorkerDlg	PackAssets/UI_Prefab/BuyWorkerDlg	ui_prefab	BuyWorkerDlg
